step,time,z,vz,KE
0,0.00000000e+00,1.99999990e+00,-9.81000000e-04,4.81180500e-07
1,1.00000000e-04,1.99999971e+00,-1.96200000e-03,1.92472200e-06
2,2.00000000e-04,1.99999941e+00,-2.94300000e-03,4.33062450e-06
3,3.00000000e-04,1.99999902e+00,-3.92400000e-03,7.69888800e-06
4,4.00000000e-04,1.99999853e+00,-4.90500000e-03,1.20295125e-05
5,5.00000000e-04,1.99999794e+00,-5.88600000e-03,1.73224980e-05
6,6.00000000e-04,1.99999725e+00,-6.86700000e-03,2.35778445e-05
7,7.00000000e-04,1.99999647e+00,-7.84800000e-03,3.07955520e-05
8,8.00000000e-04,1.99999559e+00,-8.82900000e-03,3.89756205e-05
9,9.00000000e-04,1.99999460e+00,-9.81000000e-03,4.81180500e-05
10,1.00000000e-03,1.99999353e+00,-1.07910000e-02,5.82228405e-05
11,1.10000000e-03,1.99999235e+00,-1.17720000e-02,6.92899920e-05
12,1.20000000e-03,1.99999107e+00,-1.27530000e-02,8.13195045e-05
13,1.30000000e-03,1.99998970e+00,-1.37340000e-02,9.43113780e-05
14,1.40000000e-03,1.99998823e+00,-1.47150000e-02,1.08265612e-04
15,1.50000000e-03,1.99998666e+00,-1.56960000e-02,1.23182208e-04
16,1.60000000e-03,1.99998499e+00,-1.66770000e-02,1.39061164e-04
17,1.70000000e-03,1.99998322e+00,-1.76580000e-02,1.55902482e-04
18,1.80000000e-03,1.99998136e+00,-1.86390000e-02,1.73706160e-04
19,1.90000000e-03,1.99997940e+00,-1.96200000e-02,1.92472200e-04
20,2.00000000e-03,1.99997734e+00,-2.06010000e-02,2.12200600e-04
21,2.10000000e-03,1.99997518e+00,-2.15820000e-02,2.32891362e-04
22,2.20000000e-03,1.99997292e+00,-2.25630000e-02,2.54544484e-04
23,2.30000000e-03,1.99997057e+00,-2.35440000e-02,2.77159968e-04
24,2.40000000e-03,1.99996812e+00,-2.45250000e-02,3.00737812e-04
25,2.50000000e-03,1.99996557e+00,-2.55060000e-02,3.25278018e-04
26,2.60000000e-03,1.99996292e+00,-2.64870000e-02,3.50780584e-04
27,2.70000000e-03,1.99996017e+00,-2.74680000e-02,3.77245512e-04
28,2.80000000e-03,1.99995733e+00,-2.84490000e-02,4.04672800e-04
29,2.90000000e-03,1.99995438e+00,-2.94300000e-02,4.33062450e-04
30,3.00000000e-03,1.99995134e+00,-3.04110000e-02,4.62414460e-04
31,3.10000000e-03,1.99994820e+00,-3.13920000e-02,4.92728832e-04
32,3.20000000e-03,1.99994497e+00,-3.23730000e-02,5.24005564e-04
33,3.30000000e-03,1.99994163e+00,-3.33540000e-02,5.56244658e-04
34,3.40000000e-03,1.99993820e+00,-3.43350000e-02,5.89446112e-04
35,3.50000000e-03,1.99993467e+00,-3.53160000e-02,6.23609928e-04
36,3.60000000e-03,1.99993104e+00,-3.62970000e-02,6.58736104e-04
37,3.70000000e-03,1.99992731e+00,-3.72780000e-02,6.94824642e-04
38,3.80000000e-03,1.99992348e+00,-3.82590000e-02,7.31875541e-04
