step,time,x_num,vx_num,x_exact,error_x
0,0.0000000000e+00,5.0150000000e-01,1.5000000000e+00,5.0000000000e-01,1.5000000000e-03
1,1.0000000000e-03,5.0300000000e-01,1.5000000000e+00,5.0150000000e-01,1.5000000000e-03
2,2.0000000000e-03,5.0450000000e-01,1.5000000000e+00,5.0300000000e-01,1.5000000000e-03
3,3.0000000000e-03,5.0600000000e-01,1.5000000000e+00,5.0450000000e-01,1.5000000000e-03
4,4.0000000000e-03,5.0750000000e-01,1.5000000000e+00,5.0600000000e-01,1.5000000000e-03
5,5.0000000000e-03,5.0900000000e-01,1.5000000000e+00,5.0750000000e-01,1.5000000000e-03
6,6.0000000000e-03,5.1050000000e-01,1.5000000000e+00,5.0900000000e-01,1.5000000000e-03
7,7.0000000000e-03,5.1200000000e-01,1.5000000000e+00,5.1050000000e-01,1.5000000000e-03
8,8.0000000000e-03,5.1350000000e-01,1.5000000000e+00,5.1200000000e-01,1.5000000000e-03
9,9.0000000000e-03,5.1500000000e-01,1.5000000000e+00,5.1350000000e-01,1.5000000000e-03
10,1.0000000000e-02,5.1650000000e-01,1.5000000000e+00,5.1500000000e-01,1.5000000000e-03
11,1.1000000000e-02,5.1800000000e-01,1.5000000000e+00,5.1650000000e-01,1.5000000000e-03
12,1.2000000000e-02,5.1950000000e-01,1.5000000000e+00,5.1800000000e-01,1.5000000000e-03
13,1.3000000000e-02,5.2100000000e-01,1.5000000000e+00,5.1950000000e-01,1.5000000000e-03
14,1.4000000000e-02,5.2250000000e-01,1.5000000000e+00,5.2100000000e-01,1.5000000000e-03
15,1.5000000000e-02,5.2400000000e-01,1.5000000000e+00,5.2250000000e-01,1.5000000000e-03
16,1.6000000000e-02,5.2550000000e-01,1.5000000000e+00,5.2400000000e-01,1.5000000000e-03
17,1.7000000000e-02,5.2700000000e-01,1.5000000000e+00,5.2550000000e-01,1.5000000000e-03
18,1.8000000000e-02,5.2850000000e-01,1.5000000000e+00,5.2700000000e-01,1.5000000000e-03
19,1.9000000000e-02,5.3000000000e-01,1.5000000000e+00,5.2850000000e-01,1.5000000000e-03
20,2.0000000000e-02,5.3150000000e-01,1.5000000000e+00,5.3000000000e-01,1.5000000000e-03
21,2.1000000000e-02,5.3300000000e-01,1.5000000000e+00,5.3150000000e-01,1.5000000000e-03
22,2.2000000000e-02,5.3450000000e-01,1.5000000000e+00,5.3300000000e-01,1.5000000000e-03
23,2.3000000000e-02,5.3600000000e-01,1.5000000000e+00,5.3450000000e-01,1.5000000000e-03
24,2.4000000000e-02,5.3750000000e-01,1.5000000000e+00,5.3600000000e-01,1.5000000000e-03
25,2.5000000000e-02,5.3900000000e-01,1.5000000000e+00,5.3750000000e-01,1.5000000000e-03
26,2.6000000000e-02,5.4050000000e-01,1.5000000000e+00,5.3900000000e-01,1.5000000000e-03
27,2.7000000000e-02,5.4200000000e-01,1.5000000000e+00,5.4050000000e-01,1.5000000000e-03
28,2.8000000000e-02,5.4350000000e-01,1.5000000000e+00,5.4200000000e-01,1.5000000000e-03
29,2.9000000000e-02,5.4500000000e-01,1.5000000000e+00,5.4350000000e-01,1.5000000000e-03
30,3.0000000000e-02,5.4650000000e-01,1.5000000000e+00,5.4500000000e-01,1.5000000000e-03
31,3.1000000000e-02,5.4800000000e-01,1.5000000000e+00,5.4650000000e-01,1.5000000000e-03
32,3.2000000000e-02,5.4950000000e-01,1.5000000000e+00,5.4800000000e-01,1.5000000000e-03
33,3.3000000000e-02,5.5100000000e-01,1.5000000000e+00,5.4950000000e-01,1.5000000000e-03
34,3.4000000000e-02,5.5250000000e-01,1.5000000000e+00,5.5100000000e-01,1.5000000000e-03
35,3.5000000000e-02,5.5400000000e-01,1.5000000000e+00,5.5250000000e-01,1.5000000000e-03
36,3.6000000000e-02,5.5550000000e-01,1.5000000000e+00,5.5400000000e-01,1.5000000000e-03
37,3.7000000000e-02,5.5700000000e-01,1.5000000000e+00,5.5550000000e-01,1.5000000000e-03
38,3.8000000000e-02,5.5850000000e-01,1.5000000000e+00,5.5700000000e-01,1.5000000000e-03
39,3.9000000000e-02,5.6000000000e-01,1.5000000000e+00,5.5850000000e-01,1.5000000000e-03
40,4.0000000000e-02,5.6150000000e-01,1.5000000000e+00,5.6000000000e-01,1.5000000000e-03
41,4.1000000000e-02,5.6300000000e-01,1.5000000000e+00,5.6150000000e-01,1.5000000000e-03
42,4.2000000000e-02,5.6450000000e-01,1.5000000000e+00,5.6300000000e-01,1.5000000000e-03
43,4.3000000000e-02,5.6600000000e-01,1.5000000000e+00,5.6450000000e-01,1.5000000000e-03
44,4.4000000000e-02,5.6750000000e-01,1.5000000000e+00,5.6600000000e-01,1.5000000000e-03
45,4.5000000000e-02,5.6900000000e-01,1.5000000000e+00,5.6750000000e-01,1.5000000000e-03
46,4.6000000000e-02,5.7050000000e-01,1.5000000000e+00,5.6900000000e-01,1.5000000000e-03
47,4.7000000000e-02,5.7200000000e-01,1.5000000000e+00,5.7050000000e-01,1.5000000000e-03
48,4.8000000000e-02,5.7350000000e-01,1.5000000000e+00,5.7200000000e-01,1.5000000000e-03
49,4.9000000000e-02,5.7500000000e-01,1.5000000000e+00,5.7350000000e-01,1.5000000000e-03
50,5.0000000000e-02,5.7650000000e-01,1.5000000000e+00,5.7500000000e-01,1.5000000000e-03
51,5.1000000000e-02,5.7800000000e-01,1.5000000000e+00,5.7650000000e-01,1.5000000000e-03
52,5.2000000000e-02,5.7950000000e-01,1.5000000000e+00,5.7800000000e-01,1.5000000000e-03
53,5.3000000000e-02,5.8100000000e-01,1.5000000000e+00,5.7950000000e-01,1.5000000000e-03
54,5.4000000000e-02,5.8250000000e-01,1.5000000000e+00,5.8100000000e-01,1.5000000000e-03
55,5.5000000000e-02,5.8400000000e-01,1.5000000000e+00,5.8250000000e-01,1.5000000000e-03
56,5.6000000000e-02,5.8550000000e-01,1.5000000000e+00,5.8400000000e-01,1.5000000000e-03
57,5.7000000000e-02,5.8700000000e-01,1.5000000000e+00,5.8550000000e-01,1.5000000000e-03
58,5.8000000000e-02,5.8850000000e-01,1.5000000000e+00,5.8700000000e-01,1.5000000000e-03
59,5.9000000000e-02,5.9000000000e-01,1.5000000000e+00,5.8850000000e-01,1.5000000000e-03
60,6.0000000000e-02,5.9150000000e-01,1.5000000000e+00,5.9000000000e-01,1.5000000000e-03
61,6.1000000000e-02,5.9300000000e-01,1.5000000000e+00,5.9150000000e-01,1.5000000000e-03
62,6.2000000000e-02,5.9450000000e-01,1.5000000000e+00,5.9300000000e-01,1.5000000000e-03
63,6.3000000000e-02,5.9600000000e-01,1.5000000000e+00,5.9450000000e-01,1.5000000000e-03
64,6.4000000000e-02,5.9750000000e-01,1.5000000000e+00,5.9600000000e-01,1.5000000000e-03
65,6.5000000000e-02,5.9900000000e-01,1.5000000000e+00,5.9750000000e-01,1.5000000000e-03
66,6.6000000000e-02,6.0050000000e-01,1.5000000000e+00,5.9900000000e-01,1.5000000000e-03
67,6.7000000000e-02,6.0200000000e-01,1.5000000000e+00,6.0050000000e-01,1.5000000000e-03
68,6.8000000000e-02,6.0350000000e-01,1.5000000000e+00,6.0200000000e-01,1.5000000000e-03
69,6.9000000000e-02,6.0500000000e-01,1.5000000000e+00,6.0350000000e-01,1.5000000000e-03
70,7.0000000000e-02,6.0650000000e-01,1.5000000000e+00,6.0500000000e-01,1.5000000000e-03
71,7.1000000000e-02,6.0800000000e-01,1.5000000000e+00,6.0650000000e-01,1.5000000000e-03
72,7.2000000000e-02,6.0950000000e-01,1.5000000000e+00,6.0800000000e-01,1.5000000000e-03
73,7.3000000000e-02,6.1100000000e-01,1.5000000000e+00,6.0950000000e-01,1.5000000000e-03
74,7.4000000000e-02,6.1250000000e-01,1.5000000000e+00,6.1100000000e-01,1.5000000000e-03
75,7.5000000000e-02,6.1400000000e-01,1.5000000000e+00,6.1250000000e-01,1.5000000000e-03
76,7.6000000000e-02,6.1550000000e-01,1.5000000000e+00,6.1400000000e-01,1.5000000000e-03
77,7.7000000000e-02,6.1700000000e-01,1.5000000000e+00,6.1550000000e-01,1.5000000000e-03
78,7.8000000000e-02,6.1850000000e-01,1.5000000000e+00,6.1700000000e-01,1.5000000000e-03
79,7.9000000000e-02,6.2000000000e-01,1.5000000000e+00,6.1850000000e-01,1.5000000000e-03
80,8.0000000000e-02,6.2150000000e-01,1.5000000000e+00,6.2000000000e-01,1.5000000000e-03
81,8.1000000000e-02,6.2300000000e-01,1.5000000000e+00,6.2150000000e-01,1.5000000000e-03
