step,time,KE
0,0.00000000e+00,2.40590250e-01
10,1.00000000e-02,2.91114203e+01
20,2.00000000e-02,1.06100300e+02
30,3.00000000e-02,2.31207230e+02
40,4.00000000e-02,4.04179948e+02
50,5.00000000e-02,6.24944999e+02
60,6.00000000e-02,8.93606103e+02
70,7.00000000e-02,1.20938872e+03
80,8.00000000e-02,1.57315783e+03
90,9.00000000e-02,1.98242641e+03
100,1.00000000e-01,2.43759702e+03
110,1.10000000e-01,2.93926200e+03
120,1.20000000e-01,3.48401780e+03
130,1.30000000e-01,4.06996161e+03
140,1.40000000e-01,4.70011519e+03
150,1.50000000e-01,5.37691855e+03
160,1.60000000e-01,6.09543997e+03
170,1.70000000e-01,6.84813276e+03
180,1.80000000e-01,7.63837162e+03
190,1.90000000e-01,8.47426271e+03
200,2.00000000e-01,9.34081358e+03
210,2.10000000e-01,1.02574591e+04
220,2.20000000e-01,1.12030880e+04
230,2.30000000e-01,1.21711849e+04
240,2.40000000e-01,1.31952204e+04
250,2.50000000e-01,1.42414566e+04
260,2.60000000e-01,1.53149877e+04
270,2.70000000e-01,1.64359267e+04
280,2.80000000e-01,1.75800434e+04
290,2.90000000e-01,1.87440565e+04
300,3.00000000e-01,1.99309499e+04
310,3.10000000e-01,2.11800875e+04
320,3.20000000e-01,2.24328478e+04
330,3.30000000e-01,2.37037957e+04
340,3.40000000e-01,2.49736870e+04
350,3.50000000e-01,2.62767171e+04
360,3.60000000e-01,2.75753511e+04
370,3.70000000e-01,2.88885145e+04
380,3.80000000e-01,3.02129358e+04
390,3.90000000e-01,3.15696267e+04
400,4.00000000e-01,3.29110142e+04
410,4.10000000e-01,3.42521166e+04
420,4.20000000e-01,3.55745184e+04
430,4.30000000e-01,3.69648989e+04
440,4.40000000e-01,3.82227522e+04
450,4.50000000e-01,3.95331657e+04
460,4.60000000e-01,4.08858948e+04
470,4.70000000e-01,4.22291979e+04
480,4.80000000e-01,4.35251771e+04
490,4.90000000e-01,4.48140666e+04
500,5.00000000e-01,4.60784884e+04
