step,time,z_num,vz_num,z_exact,vz_exact,error_z
0,0.0000000000e+00,4.9999901900e+00,-9.8100000000e-03,5.0000000000e+00,-0.0000000000e+00,9.8099999999e-06
1,1.0000000000e-03,4.9999705700e+00,-1.9620000000e-02,4.9999950950e+00,-9.8100000000e-03,2.4525000000e-05
2,2.0000000000e-03,4.9999411400e+00,-2.9430000000e-02,4.9999803800e+00,-1.9620000000e-02,3.9240000000e-05
3,3.0000000000e-03,4.9999019000e+00,-3.9240000000e-02,4.9999558550e+00,-2.9430000000e-02,5.3954999999e-05
4,4.0000000000e-03,4.9998528500e+00,-4.9050000000e-02,4.9999215200e+00,-3.9240000000e-02,6.8670000000e-05
5,5.0000000000e-03,4.9997939900e+00,-5.8860000000e-02,4.9998773750e+00,-4.9050000000e-02,8.3385000000e-05
6,6.0000000000e-03,4.9997253200e+00,-6.8670000000e-02,4.9998234200e+00,-5.8860000000e-02,9.8100000001e-05
7,7.0000000000e-03,4.9996468400e+00,-7.8480000000e-02,4.9997596550e+00,-6.8670000000e-02,1.1281500000e-04
8,8.0000000000e-03,4.9995585500e+00,-8.8290000000e-02,4.9996860800e+00,-7.8480000000e-02,1.2753000000e-04
9,9.0000000000e-03,4.9994604500e+00,-9.8100000000e-02,4.9996026950e+00,-8.8290000000e-02,1.4224500000e-04
10,1.0000000000e-02,4.9993525400e+00,-1.0791000000e-01,4.9995095000e+00,-9.8100000000e-02,1.5696000000e-04
11,1.1000000000e-02,4.9992348200e+00,-1.1772000000e-01,4.9994064950e+00,-1.0791000000e-01,1.7167500000e-04
12,1.2000000000e-02,4.9991072900e+00,-1.2753000000e-01,4.9992936800e+00,-1.1772000000e-01,1.8639000000e-04
13,1.3000000000e-02,4.9989699500e+00,-1.3734000000e-01,4.9991710550e+00,-1.2753000000e-01,2.0110500000e-04
14,1.4000000000e-02,4.9988228000e+00,-1.4715000000e-01,4.9990386200e+00,-1.3734000000e-01,2.1582000000e-04
15,1.5000000000e-02,4.9986658400e+00,-1.5696000000e-01,4.9988963750e+00,-1.4715000000e-01,2.3053500000e-04
16,1.6000000000e-02,4.9984990700e+00,-1.6677000000e-01,4.9987443200e+00,-1.5696000000e-01,2.4525000000e-04
17,1.7000000000e-02,4.9983224900e+00,-1.7658000000e-01,4.9985824550e+00,-1.6677000000e-01,2.5996500000e-04
18,1.8000000000e-02,4.9981361000e+00,-1.8639000000e-01,4.9984107800e+00,-1.7658000000e-01,2.7468000000e-04
19,1.9000000000e-02,4.9979399000e+00,-1.9620000000e-01,4.9982292950e+00,-1.8639000000e-01,2.8939500000e-04
20,2.0000000000e-02,4.9977338900e+00,-2.0601000000e-01,4.9980380000e+00,-1.9620000000e-01,3.0411000000e-04
21,2.1000000000e-02,4.9975180700e+00,-2.1582000000e-01,4.9978368950e+00,-2.0601000000e-01,3.1882500000e-04
22,2.2000000000e-02,4.9972924400e+00,-2.2563000000e-01,4.9976259800e+00,-2.1582000000e-01,3.3354000000e-04
23,2.3000000000e-02,4.9970570000e+00,-2.3544000000e-01,4.9974052550e+00,-2.2563000000e-01,3.4825500000e-04
24,2.4000000000e-02,4.9968117500e+00,-2.4525000000e-01,4.9971747200e+00,-2.3544000000e-01,3.6297000000e-04
25,2.5000000000e-02,4.9965566900e+00,-2.5506000000e-01,4.9969343750e+00,-2.4525000000e-01,3.7768500000e-04
26,2.6000000000e-02,4.9962918200e+00,-2.6487000000e-01,4.9966842200e+00,-2.5506000000e-01,3.9240000000e-04
