step_idx,KE_serial,KE_parallel,abs_diff
0,2.4059025000e-01,2.4059025000e-01,0.0000000000e+00
1,2.9111420250e+01,2.9111420250e+01,0.0000000000e+00
2,1.0610030025e+02,1.0610030025e+02,0.0000000000e+00
3,2.3120723025e+02,2.3120723025e+02,0.0000000000e+00
4,4.0417994797e+02,4.0417994797e+02,0.0000000000e+00
5,6.2494499938e+02,6.2494499938e+02,0.0000000000e+00
6,8.9360610307e+02,8.9360610307e+02,0.0000000000e+00
7,1.2093887169e+03,1.2093887169e+03,0.0000000000e+00
8,1.5731578327e+03,1.5731578327e+03,0.0000000000e+00
9,1.9824264141e+03,1.9824264141e+03,0.0000000000e+00
10,2.4375970181e+03,2.4375970181e+03,0.0000000000e+00
11,2.9392619978e+03,2.9392619978e+03,0.0000000000e+00
12,3.4840177991e+03,3.4840177991e+03,0.0000000000e+00
13,4.0699616144e+03,4.0699616144e+03,0.0000000000e+00
14,4.7001151945e+03,4.7001151945e+03,0.0000000000e+00
15,5.3769185457e+03,5.3769185457e+03,0.0000000000e+00
16,6.0954399732e+03,6.0954399732e+03,0.0000000000e+00
17,6.8481327567e+03,6.8481327567e+03,0.0000000000e+00
18,7.6383716221e+03,7.6383716221e+03,0.0000000000e+00
19,8.4742627121e+03,8.4742627121e+03,0.0000000000e+00
20,9.3408135840e+03,9.3408135840e+03,0.0000000000e+00
21,1.0257459106e+04,1.0257459106e+04,0.0000000000e+00
22,1.1203088049e+04,1.1203088049e+04,0.0000000000e+00
23,1.2171184906e+04,1.2171184906e+04,0.0000000000e+00
24,1.3195220447e+04,1.3195220447e+04,0.0000000000e+00
25,1.4241456616e+04,1.4241456616e+04,0.0000000000e+00
26,1.5314987717e+04,1.5314987717e+04,0.0000000000e+00
27,1.6435926713e+04,1.6435926713e+04,0.0000000000e+00
28,1.7580043371e+04,1.7580043371e+04,0.0000000000e+00
29,1.8744056490e+04,1.8744056490e+04,0.0000000000e+00
30,1.9930949942e+04,1.9930949942e+04,0.0000000000e+00
31,2.1180087483e+04,2.1180087483e+04,0.0000000000e+00
32,2.2432847816e+04,2.2432847816e+04,0.0000000000e+00
33,2.3703795691e+04,2.3703795691e+04,0.0000000000e+00
34,2.4973687015e+04,2.4973687015e+04,0.0000000000e+00
35,2.6276717095e+04,2.6276717095e+04,0.0000000000e+00
36,2.7575351085e+04,2.7575351085e+04,0.0000000000e+00
37,2.8888514527e+04,2.8888514527e+04,0.0000000000e+00
38,3.0212935827e+04,3.0212935827e+04,0.0000000000e+00
39,3.1569626718e+04,3.1569626718e+04,0.0000000000e+00
40,3.2911014170e+04,3.2911014170e+04,0.0000000000e+00
41,3.4252116578e+04,3.4252116578e+04,0.0000000000e+00
42,3.5574518351e+04,3.5574518351e+04,0.0000000000e+00
43,3.6964898907e+04,3.6964898907e+04,0.0000000000e+00
44,3.8222752228e+04,3.8222752228e+04,0.0000000000e+00
45,3.9533165670e+04,3.9533165670e+04,0.0000000000e+00
46,4.0885894751e+04,4.0885894751e+04,0.0000000000e+00
47,4.2229197915e+04,4.2229197915e+04,0.0000000000e+00
48,4.3525177133e+04,4.3525177133e+04,0.0000000000e+00
49,4.4814066607e+04,4.4814066607e+04,0.0000000000e+00
50,4.6078488376e+04,4.6078488376e+04,0.0000000000e+00
